,neg_log_loss,roc_auc
RandomForestClassifier,-0.6431599404250795,0.6751894388645151
XGBClassifier,-0.3437184701055863,0.6504062723668056
LGBMClassifier,-0.3281524770960805,0.675104640101168
CatBoostClassifier,-0.3266437190987127,0.6813938680335416
LogisticRegression,-0.3287688451352674,0.6736290475627442
RandomForestClassifier_cop,-0.2345971337074543,0.9567794731535316
XGBClassifier_cop,-0.2092361984489811,0.957701419705142
LGBMClassifier_cop,-0.2076255224699374,0.9599026059865026
CatBoostClassifier_cop,-0.2039497373174853,0.9595501176498572
LogisticRegression_cop,-0.262604448964753,0.9464409979767828
RandomForestClassifier_ct,-0.3820426288238071,0.9278448142308512
XGBClassifier_ct,-0.2743036962572199,0.9441663691311366
LGBMClassifier_ct,-0.2961987110291841,0.9417605363127308
CatBoostClassifier_ct,-0.2617153463295479,0.9473060077937866
LogisticRegression_ct,-0.4934155325340164,0.839845090303962
RandomForestClassifier_sm,-0.4340117443585647,0.6155910624019905
XGBClassifier_sm,-0.5222692699570879,0.5902441249908024
LGBMClassifier_sm,-0.5265569919898407,0.5997425419779041
CatBoostClassifier_sm,-0.503296387413648,0.5940682511075032
LogisticRegression_sm,-0.5968130366238641,0.5857293948027589
RandomForestClassifier_cop_4_num,-0.2284021746622218,0.9575480069760576
XGBClassifier_cop_4_num,-0.2047084760165163,0.9582240271210096
LGBMClassifier_cop_4_num,-0.2007870299093047,0.9606535241385808
CatBoostClassifier_cop_4_num,-0.2001070675995953,0.9601333841616576
LogisticRegression_cop_4_num,-0.355293942093723,0.925517102035311
