,neg_log_loss,roc_auc
BalancedRandomForestClassifier,-0.6431599404250795,0.6751894388645151
XGBClassifier,-0.3437184701055863,0.6504062723668056
LGBMClassifier,-0.32815247709608053,0.675104640101168
CatBoostClassifier,-0.3266437190987127,0.6813938680335416
LogisticRegression,-0.32876884513526744,0.6736290475627442
BalancedRandomForestClassifier_cop,-0.25034781004297246,0.9547747521746262
XGBClassifier_cop,-0.2181530766842406,0.9564646037173568
LGBMClassifier_cop,-0.2169587054265431,0.9584127893540912
CatBoostClassifier_cop,-0.21237943276475094,0.958637961910586
LogisticRegression_cop,-0.270499268597843,0.9463579311244856
BalancedRandomForestClassifier_ct,-0.36444702497159565,0.9307447427795454
XGBClassifier_ct,-0.26898990596168776,0.9444131799200182
LGBMClassifier_ct,-0.28646790348625667,0.9428619671708628
CatBoostClassifier_ct,-0.25662215181458176,0.9479462709104134
LogisticRegression_ct,-0.4796762547262759,0.8499541843391321
BalancedRandomForestClassifier_sm,-0.43401174435856477,0.6155910624019905
XGBClassifier_sm,-0.5222692699570879,0.5902441249908024
LGBMClassifier_sm,-0.5265569919898407,0.5997425419779041
CatBoostClassifier_sm,-0.503768359646058,0.5938877392448514
LogisticRegression_sm,-0.5968130366238641,0.5857293948027589
