,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116
seed_0,0.2943834548159366,0.33130659423839637,0.020160261992413775,0.07368825783322504,0.009662576790500728,0.005936731046388855,0.00457138123240431,0.00011468976934342887,0.003556845981305301,0.00038730852549081915,0.0003811279700523545,0.009398304093510147,0.000163520805836894,0.0018849797891092334,1.031141230288817e-05,0.0020374692279474167,0.0056317589323115,0.010890710342490319,3.313692298553486e-06,0.0014482825945524981,0.0,0.0015380074407489776,0.02918188217858883,0.0033043107594600044,0.013048708431251915,0.0001952150994623927,0.0007767612554519279,2.0702278125888472e-05,0.006347413679806047,1.8014306952781608e-06,0.007373356084074999,0.0015324989861840675,0.003467761280969306,0.0016551141276311052,0.00149465627863016,0.012428435137120126,0.009168563703378797,0.0011863198272273972,0.025778969463049185,0.01830682753099521,0.002262245286499404,0.001059659657114015,6.356956542682731e-05,0.0029961491363932834,0.001019087487509907,0.0006938993850277074,0.0007558440333682538,0.0017017985505705627,0.0004215314747151908,0.0010747797935132142,0.0011658394222053563,0.001005910593504993,0.003003223097344838,0.0012595253725628207,0.0005415578544032227,0.0006786992689314742,0.00020925969259649244,0.00034779962973853154,0.00030931127033923276,0.0010134014895592926,0.0006672770266303265,0.0010754697653549675,0.002944689367326228,0.0030934148117684724,0.000530788705247775,0.0006317790091259777,0.00015957842870880916,0.0003335849954210426,7.703229376761801e-05,0.0017286313411123194,0.0004821615552840834,0.0015878004926443456,0.002884425862595278,0.0054306320205606455,0.0004967381155113008,0.0016834761036238245,0.0005572954924620673,0.0027052165463222534,0.00023014046787942218,0.0017902822110484073,0.0014182944769187435,0.00015438392525088347,0.0002742389812262889,0.0002533494375061053,4.073320853608928e-05,0.0,0.0001104635220725579,8.926677288747427e-05,5.8699419836822425e-06,3.724354934524112e-05,0.0005636601230194036,0.0005276448424802334,7.125779258858546e-05,0.00018638281057271867,0.0013345985059915549,0.001298828080065407,0.00017224399028470223,0.00012414242034571488,0.0024509600711925946,0.0013669928562103277,0.00023149511709046316,3.357784995321968e-05,0.00386297373510527,0.0041742775117145185,4.357536018394772e-05,1.7339051085681975e-06,0.000685411834278247,0.0007442457533330351,3.0174688891104795e-05,0.001684838342045998,0.009762262024321577,0.003322351699728124,0.0015685853047798278,2.237979597443464e-06,0.0001489952197494411,0.00012401563325248265,0.0
seed_1,0.2991870363046362,0.3115960201497279,0.021806088269631773,0.0720382153027964,0.009046064200028849,0.007431421011765173,0.005398878574587968,0.00011246252291324041,0.0037197068612254843,0.00036908452979993026,0.00040968029254179514,0.009025032900208252,0.0001844793042914785,0.0020679513612401976,1.0238354308907994e-05,0.0022586377213057885,0.00639054023420146,0.01063144634364186,2.4940630861716247e-06,0.0014151235783829283,0.0,0.0015961063670739744,0.029691346705815067,0.0029717658076379642,0.014212351403349253,0.00021238902233854652,0.0009068197941674957,1.7442589123414318e-05,0.006982278641712929,1.2106410844932741e-06,0.006981917353979454,0.0014918202078402088,0.0037223508348259897,0.0016491082535376874,0.0016268856606845648,0.01228538291329485,0.009965278241780822,0.0012404089768088655,0.02858979632344029,0.019161275261532697,0.0022907394374654653,0.001103416431457516,7.149338738471777e-05,0.0031226741691512384,0.0010592506160060342,0.0006798925013157726,0.0008069391281658228,0.0019813894887195605,0.0004733119630412514,0.0010959432363747852,0.0011683741604570923,0.0011045127040424521,0.0035001403187503856,0.001404094698986963,0.0005333405518876304,0.0006573587118160717,0.0002119964991569378,0.00032235506484930884,0.0003296998783354989,0.0010331683256740915,0.0007376870475370633,0.0011418124536153092,0.003113805386993061,0.004161505975534158,0.0005394555698595683,0.0006580860763836084,0.00016147941939924113,0.00034933253501523784,6.845800156287105e-05,0.001780344900824086,0.0004737164271895224,0.0015835725850976024,0.003003946792998982,0.0062407603603090245,0.0005006706186726586,0.0017408348758814296,0.0005617207452113922,0.0029446408349675874,0.00022629886849006464,0.0018910393631155374,0.001930736254554709,0.00017264102756887043,0.00028619492290478697,0.00025669448702360256,3.660649702992294e-05,0.0,0.00011454699263453495,0.00010437511614094704,7.550721698745223e-06,3.8440153217321105e-05,0.000603966404434538,0.000489989433410235,7.492025225540306e-05,0.00017672260200415056,0.0014261981927241143,0.0014301434211890555,0.00015661356122732638,0.0001428920793559357,0.0025201560378116617,0.0016004911875679238,0.0002484033765965334,3.118127412484773e-05,0.004663124002571956,0.003786753704257736,5.183720012308388e-05,1.3648109229509483e-06,0.0008104868447656246,0.0007147623768321787,3.610884358553785e-05,0.0018698433718819785,0.009466271128194372,0.003440973162727439,0.0017487448727369714,5.096408601538821e-06,0.00018395158211874382,0.0001354207031579723,0.0
seed_2,0.3004847248117884,0.3265534731073546,0.01984998535646717,0.0732436831700061,0.008626350204422527,0.007488552189649089,0.0042986890878183946,0.00011530218192276746,0.003928356930032555,0.0003657498063579407,0.0003839704995952367,0.0073329057481332375,0.00017260649004663883,0.001581393740310718,8.08662110083508e-06,0.0023228481822322603,0.005074307498624755,0.010193690252520997,2.008662667204233e-06,0.0015472607818913823,0.0,0.0015039381581066337,0.025545462170566753,0.0033711928167132013,0.014637431650904384,0.00021879234548592607,0.0009285745753637425,1.7202108838103646e-05,0.006413415613308515,2.5649199233196513e-06,0.009093577848161874,0.0018425068248975184,0.003661867931137197,0.001539501096745896,0.0015541721603121548,0.01268776558325795,0.009064659909181946,0.001237867597518432,0.02391353467926069,0.02108233849259116,0.0021806086234895288,0.0010967024599789778,6.370038566748891e-05,0.003123881194064859,0.0009611244632602233,0.0007095044692411912,0.0007839859064326522,0.0018578383549143385,0.00046965387921316196,0.0010813575018383576,0.001151379845251186,0.0010310935133979076,0.0029658116117861595,0.0013309794289690427,0.0005292933291258357,0.0006436179969395286,0.00019787930772093912,0.0003319763903706501,0.00032868372110203813,0.0010246810497158546,0.000697520840192083,0.001086417934550138,0.0028300170468349623,0.002960266485119318,0.0005398494524143093,0.0006631936282127604,0.0001478627519366693,0.00033874380538257055,7.846464682761595e-05,0.001500937797181217,0.0004757340800616823,0.001380664652669404,0.00301519791882307,0.005258755415287497,0.0004974056117626058,0.0015498745525359728,0.0005248427355227048,0.0024794238630628886,0.00022871452786707485,0.0015999999194220972,0.0014260600821120876,0.00016436645712014444,0.00031402929348516625,0.00024295390181592734,4.267957571713845e-05,0.0,0.00012484782920176498,9.940506449359715e-05,1.1435667973831712e-05,3.492960843726635e-05,0.0005495421340662776,0.0004787326681917632,7.310441220263167e-05,0.00015394093469676956,0.001397688550671571,0.0012548042699694765,0.0001860203218247463,0.00014175099709529335,0.002155579636317976,0.0016480603206119255,0.0002522911453180796,3.084860288560414e-05,0.004933103334337659,0.0037355833518653765,3.654583451300962e-05,1.271957063825697e-06,0.0007188705899955787,0.0007347016393752573,3.121419804110403e-05,0.002166293411336389,0.008978957661532956,0.004210908715659111,0.0017483131309312175,6.916430800090851e-06,0.0001649956306087595,0.00014129973636590047,0.0
seed_3,0.27870548786680155,0.34481280663920477,0.01967700703914589,0.06783283017970473,0.00799798031788964,0.006314395811961331,0.0043780911248269576,0.00011929495070577429,0.0036188267778503565,0.0003740232954465959,0.0003768215826513131,0.008413453946632968,0.00020774789267384583,0.0018680504857440613,1.0702689471249733e-05,0.002328753797935615,0.005344779348375016,0.011934275034686425,1.3835912792784822e-06,0.0013593637303819176,0.0,0.0014564435833682595,0.03228140632933714,0.0024572725822146193,0.015408271490109043,0.00019338736868818477,0.0008985633628674516,1.6402984437822462e-05,0.006270676192315661,2.4166598689949463e-06,0.008310382852875532,0.001524617279129508,0.0040439442629109385,0.001608227057583286,0.0015219553659584825,0.011401996946290622,0.010893720102482702,0.0011649128430683282,0.027224529715228707,0.017785717882111682,0.0020211709208432034,0.001008298477665731,6.91979752344682e-05,0.0033902501389704914,0.001018604001960092,0.000717930040884417,0.0008150310949110561,0.0016834755440830638,0.00042032382104374174,0.0010968767211342618,0.0011472150210855819,0.001049672016528009,0.003672771608985566,0.001506875979879968,0.0005301081071664836,0.0006584557289437483,0.0001990850423635814,0.0003438521296305386,0.00032072865326490896,0.0009831466067288814,0.0006772867324959189,0.0011744207963532767,0.0036927885372189323,0.00364833520783658,0.0005473425348764639,0.0006302193573578363,0.0001483510952082641,0.0003394309568118861,8.14375031881827e-05,0.0015792291123134588,0.00046654690188071543,0.0014436948787044357,0.0032066206409546317,0.005538124851693849,0.00046962879020691226,0.0018899789984782183,0.0005464959520653047,0.0026334362715674463,0.00021592037703452242,0.0015386707471287198,0.0014413735508900926,0.00017360517548105825,0.00024994855860809766,0.0002571353788015841,4.2579125369071454e-05,0.0,0.00011540083777051629,9.606983050181224e-05,9.0317847753733e-06,3.151051123937494e-05,0.0005732141487479033,0.0005291445259362346,7.435226028479867e-05,0.00016668305605684264,0.0013722144579518722,0.0012561944336948786,0.0001671843648463793,0.000132029444396371,0.002544981938050272,0.0017050118224678414,0.00024702102691156943,2.6826946499465305e-05,0.004424170235154145,0.004160080330967445,4.5634996384168014e-05,5.593280978166492e-07,0.0007710061534435945,0.0006892847997183608,3.525914477139582e-05,0.0019237376833368528,0.007469381788290268,0.0040009680129521556,0.0017221787821028569,5.6074539946889265e-06,0.0001657347812988794,0.0001129324913062613,0.0
seed_4,0.29075038357502536,0.3376543529224439,0.021731556737448955,0.07065171460857343,0.008100455329722221,0.006710208132399254,0.004199086076847654,0.00011204848359701834,0.004082395683082019,0.0003979040877722816,0.0003631089545430098,0.007354663414626931,0.00015712460909142665,0.0018612820771031502,8.18862228879652e-06,0.0020524207707814726,0.005426763917742703,0.012178675465070116,3.212376134310878e-06,0.0014560755904191667,0.0,0.0013850783264554977,0.030482578589814468,0.0029460620539399555,0.014961344687378846,0.00019052534671774944,0.0009152278918776162,2.6917516136207944e-05,0.0059904128124064,1.8756510675686672e-06,0.008157972808076201,0.0015572465850267581,0.0037964323927399766,0.0016904344441707364,0.001513257323887836,0.013296231985586491,0.007902775188623548,0.0011420204647771372,0.02566026660224469,0.01644663439681457,0.0021334475441907043,0.001061443288358089,6.676825110825986e-05,0.00305649544284062,0.0009975953398344713,0.0006992181043875191,0.0007603413841422387,0.0015103916842688725,0.0004521298647232623,0.0010791478604746164,0.001205483742395496,0.0010593572482577576,0.0035167049177525197,0.0012688131863113302,0.0005518062174226985,0.0006661554800450296,0.00019370738534859485,0.000336007629394427,0.00032439410904968447,0.0009621954057713608,0.0006967490587682743,0.0011336116743408137,0.002694084303099493,0.00288140268374632,0.0005424812701057711,0.0006523695206742361,0.00015467952087345335,0.0003315922809269681,7.44879896492645e-05,0.0016420430568123065,0.0004941518602322364,0.001667410845462387,0.0035237840718424962,0.0048652819788779205,0.0004940372062877634,0.001500074646700931,0.0005545332516265535,0.0028203238067553236,0.00020969106532533788,0.0015817281142588926,0.0013313791922250461,0.00014618290213442358,0.00028610321300456506,0.00024469265049744044,4.6909775037440524e-05,0.0,0.00010959009720505801,8.592778596435633e-05,7.061547970159242e-06,4.2409970199292046e-05,0.0005413064365780056,0.0005085097065058687,7.393651108012557e-05,0.00018825537766541312,0.0013602288164908263,0.0013964553616978683,0.0001719591952961756,0.0001468420056754655,0.002180453522627625,0.0016706522968049436,0.00021234569596817465,3.779016726574244e-05,0.004554682324610889,0.003922334259737068,5.054410745932796e-05,2.9406205089968546e-06,0.0007317282363300206,0.0006703303352851115,2.777219802591175e-05,0.0019282313061961174,0.008355819613279945,0.0032201314070167647,0.0016972852519405448,9.360145802754198e-06,0.00017798840655907727,0.0001308207644540087,0.0
seed_5,0.2973553089671772,0.3261847332810707,0.02014692394978904,0.0769134782618328,0.009533781210499984,0.006875509622674698,0.004243868257334418,0.00011530308609175618,0.004053021924950052,0.0003727518100190306,0.0003915654624444508,0.008089288598996486,0.0001762598973575934,0.001792191556313505,1.0625735500986557e-05,0.0022546761970350985,0.005156578468981464,0.010983551187866368,1.5079442813845729e-06,0.0013945345501593057,0.0,0.0014315983648415867,0.02982781366600337,0.002757191350539601,0.013577146185839505,0.00019543609021399782,0.0008344710690235155,1.909588089896653e-05,0.006223565183213367,3.283893554652295e-06,0.007183274318694777,0.0014693943531385964,0.00374913041951888,0.001518858653637642,0.0014936832253151762,0.01164645513023689,0.007778583481811584,0.0011815292047711204,0.024194382039222737,0.01981727226120571,0.002240740953481691,0.0010675049482243438,6.532715187609458e-05,0.003364368574632192,0.0010137475861681279,0.0007297585020636355,0.0008052521345439388,0.0016018646820684023,0.0004225386899256309,0.001051366550659536,0.0011228689134061575,0.0010337850668858239,0.003279082476860925,0.0013590639563193301,0.0005330287825505183,0.0006671804926495974,0.0002116973945987343,0.0003288742816574248,0.00031211467172562743,0.0010143811146538146,0.0006780777326579165,0.0012318357239105584,0.00267962173400839,0.002883875538001593,0.0005243207360333617,0.0006297090989093646,0.00015842511544805854,0.00035123852171112973,6.998344873534948e-05,0.0017343675762931862,0.0004782594327526276,0.001577405667004507,0.003317116152140141,0.0051960488695237395,0.0004984675343645022,0.0017641084678658965,0.0005523306459838829,0.0028319828387978934,0.00023623724155621774,0.0017987900828725885,0.0015731145214700234,0.00015335875441957987,0.0002682209520850861,0.00023945006926326263,4.1626298133850924e-05,0.0,0.00011523635500720447,9.701396077513432e-05,6.888222071225297e-06,3.390965327416288e-05,0.0005587601406821891,0.0005030038782655857,7.023371402925885e-05,0.00016012676135996798,0.0013591614311030896,0.0014104087474678733,0.00017243234910865413,0.0001273173103825885,0.0021789027909970525,0.0015777134058871745,0.00023183848810329395,2.568293268568919e-05,0.0047759557158245595,0.0032941253057822643,4.345510273301877e-05,7.144260897749683e-07,0.0007686037648360087,0.0006771516899567761,3.192002819396484e-05,0.0020072300282035576,0.009484092981252173,0.003518441330426986,0.0018048270491368224,6.034660958085277e-06,0.0001729058641421126,0.00014576749031144427,0.0
seed_6,0.2793349529682437,0.3362734762491491,0.021402171317489376,0.07077892269063117,0.008835484411331664,0.006021321918452131,0.004845391474456239,0.00011591569074197564,0.003977001942613124,0.0003846749543960608,0.0003811033238197444,0.008460637511092151,0.0001760544433723598,0.001920194494966483,9.73995641740087e-06,0.0023431876329058723,0.006042072702913893,0.01175331464743879,2.8760899809129507e-06,0.0013094121907871142,0.0,0.0014869551270211316,0.03257541055148777,0.0024263079531030023,0.01433370666976057,0.00019479147605597625,0.0008419721037556906,1.9368730472336775e-05,0.006117030634299078,3.028246563830799e-06,0.00875790494207108,0.0014307534433774095,0.003887426018740864,0.001597586898814311,0.0014928969411875915,0.012415034875388548,0.012822727904950025,0.0012034611695133776,0.025163293500074502,0.020798314298565445,0.002178143515746241,0.0011720925522362602,7.250756498110456e-05,0.0029685774028933047,0.00099664838022496,0.00073757891924418,0.0007693450783715693,0.0018018842601731115,0.0005086528868027991,0.0011392803512708838,0.0011999941698359615,0.001071157237121691,0.0031854833001975433,0.0014115249042293148,0.0005648562674514722,0.0006722127592445316,0.00019992715403687947,0.0003415791863727634,0.00032660772959236577,0.0010166411957321373,0.0007060897648107657,0.001325131443929638,0.00328901885782656,0.0028172052849868663,0.0005277036365629642,0.0006530328087394813,0.0001563237447842965,0.00034033262096923024,7.312911177816082e-05,0.0018125013992535417,0.0004788114092720878,0.0014037318737555881,0.0029866027172359712,0.005804342329659915,0.0004921114995945198,0.0016346930734138752,0.0005513639215831587,0.0027503436544923255,0.00023054649480017884,0.0017712469768755247,0.0014060412836188988,0.00015126650984099226,0.00028139349691958654,0.00023973120240142686,4.6420688005831044e-05,0.0,0.00012571786156000443,9.239331627401046e-05,2.5978823845919987e-06,3.9251341570312833e-05,0.0005494860164555612,0.0005066178201178014,7.390547838888786e-05,0.00017709076857386628,0.0013707675828702373,0.0012641546520686976,0.00016482121034981892,0.0001393248304978067,0.0023823707978933776,0.0016074169407786785,0.00022387023553199984,3.0748691883149464e-05,0.004875733113393756,0.0034073089483029604,4.5360962450841734e-05,6.147221030079781e-07,0.0007149360841580077,0.0007014328023234097,3.902565005267467e-05,0.0018923799427435477,0.00738280820452097,0.003615732216960054,0.0020811720896390887,7.105519430238081e-06,0.00015199882502974868,0.00013416677442069062,0.0
seed_7,0.3095568045707895,0.31713839127822985,0.02036898695488262,0.06969948788468473,0.008374947410909984,0.007231736275097534,0.004000742572844651,0.00011956952109604737,0.0031620761152854992,0.0003903997533045607,0.00039638881941080897,0.008948377321155722,0.0001924443386739496,0.0019387534706842543,7.818113719924904e-06,0.0019201619198275573,0.00580815784530669,0.009908808911985334,2.663732778920756e-06,0.001603701450603155,0.0,0.0015173467278405315,0.0254844184492013,0.0026253082095446067,0.014020384448837051,0.00019449112363273912,0.0009595364817779159,1.9301138360255233e-05,0.005998636743259738,3.4132537578105375e-06,0.006910060974953768,0.0013977748064865076,0.0040496076750733976,0.0016131522063496276,0.0013993374109411865,0.011586485521127987,0.00984906026116492,0.0012951507368837586,0.032573553349881997,0.01950778985430555,0.001849437241270726,0.0011768295728778013,5.9671088894626115e-05,0.0030300473024516008,0.0010419305911476165,0.0007246532055841835,0.0007769912038287181,0.001800242766355196,0.0004469917977052137,0.0011324772211819506,0.0011972334892719624,0.0012207071532950966,0.0030685366640151902,0.0013015621623171647,0.0005466465339804868,0.0006667510992838146,0.0002121294148671045,0.0003154595560235973,0.00033359703242542285,0.0010611642125987655,0.0006972912748009758,0.0011510291734621108,0.0026405416605004895,0.00291465204806903,0.0005344230951040843,0.0006223437481069379,0.00014546419014153898,0.00031809193279170645,7.935479473009305e-05,0.0015405850537885716,0.00046882487720796855,0.0013570590980763254,0.002588761505463192,0.005653358309210439,0.0004914879258291085,0.0019816975210467784,0.0005886942648246552,0.0025140180804819803,0.0002090589717875538,0.0019390482189429014,0.0016583642460243206,0.00016567255591449126,0.00027416181545676573,0.00025380717949407243,4.416706242550585e-05,0.0,0.00011068670778048285,0.00010397249830349261,5.904862040271598e-06,4.4803627209009025e-05,0.0005601133466510545,0.0005548239277630661,7.398483138090978e-05,0.0001659720407316484,0.0014368173202809434,0.0013208743933439883,0.00016405925574444698,0.00012477566649548696,0.0024707160353382926,0.0015774639541767097,0.00025375969020048216,2.5007206740920244e-05,0.004927522412228974,0.003755117322125971,4.056907719819373e-05,1.7040956137962584e-06,0.0007666166610243298,0.0007069625153535231,2.4394017589710976e-05,0.0017360829442050587,0.009406671741790013,0.003099651013662276,0.0016729546319786384,1.225833755178605e-05,0.00016062826308591225,0.00012488605470098633,0.0
seed_8,0.26203722747266733,0.3312056414574802,0.02170774158647531,0.08151453231307423,0.008742159591229218,0.006787354400093889,0.004568723847012519,0.00011958724410912706,0.0036696610905115985,0.00039393582559156775,0.0003912914352027098,0.007245906541792071,0.00015043632206100197,0.0019827020216116216,9.832314962947643e-06,0.0025933518322149214,0.006178599749392171,0.011240196447060053,5.95337521884024e-06,0.0016436845529237587,0.0,0.0016071013770786746,0.031987019564945075,0.003349758407398056,0.01758174952794821,0.00022305635470161691,0.0009510977741022576,2.0362539128381067e-05,0.007158495462052463,2.2022166221066383e-06,0.009100824775706739,0.0015802817311367334,0.004230028863681864,0.0015166500570346028,0.0016646630504043478,0.012485083961197487,0.009851359544217855,0.0013433284472171242,0.030213366166722263,0.02275353487910186,0.0025005629312834688,0.001175666000324494,6.821829106793007e-05,0.002696553629278626,0.0010291524244671114,0.0007672870006212786,0.0008121688436640018,0.0019082643214018153,0.00047379772463153157,0.0011557180334753805,0.0012101011407282373,0.0010291154996580198,0.0028244731723624412,0.001288764024762082,0.0005519354464628549,0.0006646233619010722,0.00020929633851264027,0.000334729719054371,0.0003091306971419163,0.0010145814675247694,0.0007301840805347539,0.0011323410805008716,0.0023726613152276446,0.003302379011304725,0.0005416732276124866,0.0006273757771103383,0.0001522635662776744,0.0003409823417862827,7.461874049049434e-05,0.0016478862752373497,0.0004817220812524065,0.0017007221598108703,0.003066362049352638,0.0060680092504171715,0.0005130250857635447,0.0016290375681728797,0.0005570718389662833,0.002751439869921849,0.00023534355845795444,0.0017983919495528407,0.0015460316028992696,0.00016381324442160664,0.00029772269253055,0.000253488330003274,5.016142411198411e-05,1.3575377555346189e-08,0.00011959529308068674,9.202612280020806e-05,7.88999350888017e-06,3.6105209563519343e-05,0.0005789902562278373,0.0005582692313165492,6.513387013267636e-05,0.00019633869706119842,0.0013796951609517023,0.0013866927249374045,0.00017164031983234892,0.0001236662820582484,0.0024775708425768036,0.0014483813752788858,0.0002351227291064307,2.5583142251618856e-05,0.004160981044457175,0.004334482500190702,5.3616734228697504e-05,2.6921594651278927e-06,0.000758158947665686,0.0006923592023150636,2.6219947478028026e-05,0.0016445516890449391,0.010412915695211612,0.0031850824512169667,0.0016526353904372517,7.551467729218151e-06,0.00016892935494560197,0.00012977627842682496,0.0
seed_9,0.27922795243625387,0.31822753046296076,0.02257208504477384,0.083331534738154,0.009487972053796614,0.006781069256255779,0.00424932743491994,0.00010705034839026419,0.003971325000349159,0.00038914784114701213,0.0003923766538662658,0.008792671682035905,0.00018333836676752432,0.0020203228076897495,1.3423156105896791e-05,0.0022113515891517563,0.006483941674676475,0.01197743581435341,3.964742143397902e-06,0.001450462688019086,0.0,0.0014953716974633964,0.03518504980421876,0.002789135402652198,0.015100785695015459,0.00018936194665511026,0.0008607202608676,2.6001347532545457e-05,0.0062485495046562985,1.961635977013824e-06,0.007073217743993854,0.0015193924170437824,0.004424303579355605,0.0016383919117697536,0.001664077618576851,0.013692660888259305,0.009522472514232182,0.0011959177977942969,0.023304934104434866,0.019166497258991905,0.002691338443521642,0.0010633700243800593,6.400705593567863e-05,0.0031982297219758675,0.0010274864582126577,0.0006933678957972197,0.0008196965539568367,0.002035751577010077,0.00042562751388102994,0.0010876737542308067,0.0011627021780070282,0.0010379747726492888,0.002820951000856576,0.0013688366145721642,0.0005448483148333482,0.0006652415477668574,0.00021321427062596061,0.0003353474332418804,0.00032204768936472855,0.0010248681016161274,0.0007561961173120201,0.001084866506930449,0.0028227341109713614,0.003539510827304979,0.0005441355230461271,0.0006416617252068606,0.00015115337118669253,0.00033029880137529276,7.386264561995751e-05,0.0014589411799446513,0.0004961795742230754,0.0016746702765973826,0.003274195984629397,0.0065535499452837815,0.0004899619097891487,0.002034093394792959,0.0005554343887165864,0.0027345388598459934,0.00021166234289903712,0.001803368784620935,0.0016044214910027482,0.0001640545437723159,0.000314425893652435,0.00024074687526508403,4.456788693176454e-05,0.0,0.0001211824814159758,0.00011140665253845765,9.866663533594885e-06,4.4148686102378014e-05,0.0005838624861536667,0.0005221844499419523,7.778114177422286e-05,0.0001759597323212924,0.0014096698387151335,0.0014790944396966498,0.00016583188368020027,0.00014310499737624918,0.0021521709238736717,0.001547639558747156,0.000233666800291238,2.737848930283732e-05,0.005580695020442302,0.003995241149345927,5.594940215264247e-05,7.853615936441019e-07,0.0007541295929178041,0.0007097652018528557,3.122648898630345e-05,0.0018781129038156338,0.00881645373233949,0.003833497702232294,0.002064941033840434,7.328457747650277e-06,0.00016989863220768237,0.0001221252904023807,0.0
